title,url,pages,year,size,downloads,description,thumbnail
Half Girlfriend by Chetan Bhagat,https://www.pdfdrive.com/half-girlfriend-by-chetan-bhagat-e18680044.html,285 Pages,2014,1.74 MB,"82,790 Downloads","Chetan Bhagat’s books do both and more. Thank you, dear reader and friend, for picking up Half  ...",https://s.pdfdrive.com/assets/thumbs/97c/97cff00bc67f8029a2b9e91deeab3549-s.jpg
half-girlfriend-chetan-bhagat,https://www.pdfdrive.com/half-girlfriend-chetan-bhagat-e60359101.html,285 Pages,2014,1.72 MB,"8,476 Downloads",half-girlfriend-chetan-bhagat.pdf Half Girlfriend Chetan Bhagat Half  ...,https://s.pdfdrive.com/assets/thumbs/982/98290378324e408fae4cd713731426d9-s.jpg
One Indian Girl by Chetan Bhagat,https://www.pdfdrive.com/one-indian-girl-by-chetan-bhagat-e33436080.html,232 Pages,2012,1.12 MB,"335,205 Downloads",ONE. INDIAN. GIRL. Chetan Bhagat is the author of six bestselling TIME magazine named him as one  ...,https://s.pdfdrive.com/assets/thumbs/6cd/6cd0c558c84a90110d7c1952faef0cbd-s.jpg
Chetan Bhagat - The Girl in Room 105 (2018),https://www.pdfdrive.com/chetan-bhagat-the-girl-in-room-105-2018-e145174632.html,285 Pages,2017,1.29 MB,"176,496 Downloads","·New! Chetan_Bhagat_-_The_Girl_in_Room_105_(2018).pdf The Girl in Room 105 Bhagat, Chetan The Girl in Room 105  ...",https://s.pdfdrive.com/assets/thumbs/43c/43c271768f2dcb0b13cb738be1a828a7-s.jpg
Three Mistakes of My Life by Chetan Bhagat,https://www.pdfdrive.com/three-mistakes-of-my-life-by-chetan-bhagat-e24667028.html,144 Pages,2008,1.72 MB,"163,738 Downloads","There are advantages in having a wife smarter than you. I could 'Oh that Chetan Bhagat,' he said  ...",https://s.pdfdrive.com/assets/thumbs/e54/e54e635153314ffc2c9c40d35bf9e2b3-s.jpg
One Indian Girl Free PDF by Chetan Bhagat,https://www.pdfdrive.com/one-indian-girl-free-pdf-by-chetan-bhagat-e40686759.html,232 Pages,2012,1.12 MB,"85,382 Downloads",ONE. INDIAN. GIRL. Chetan Bhagat is the author of six bestselling TIME magazine named him as one  ...,https://s.pdfdrive.com/assets/thumbs/49c/49c7e7a5d4ab8d552343078aabf22450-s.jpg
ONE NIGHT @ THE CALL CENTER —CHETAN BHAGAT,https://www.pdfdrive.com/one-night-the-call-center-chetan-bhagat-e1847315.html,165 Pages,2010,667 KB,"64,284 Downloads",ONE NIGHT @ THE CALL CENTER —CHETAN BHAGAT [Typeset by: Arun K Gupta] This is someway my story ONE NIGHT  ...,https://s.pdfdrive.com/assets/thumbs/8b6/8b68ad8c47dd0d713e0061354a66adf9-s.jpg
Revolution 2020,https://www.pdfdrive.com/revolution-2020-e18723858.html,304 Pages,2011,23.28 MB,"86,218 Downloads","Gopol smiled*'*lhis is not an interview, Chetan-ji- Either you sit down .. 2 4 • CHETAN.-.BHAGAT  ...",https://s.pdfdrive.com/assets/thumbs/e66/e66adbe2158e5e68975bb5e621023f94-s.jpg
One Night at call center by Chetan Bhagat,https://www.pdfdrive.com/one-night-at-call-center-by-chetan-bhagat-e29680425.html,169 Pages,2013,871 KB,"40,448 Downloads","I am Chetan by the way, Chetan Bhagat.' “Hi,' she said . challenges in modern India?' 'I don't O  ...",https://s.pdfdrive.com/assets/thumbs/cd8/cd83a61ddff634358c41b8d6a8d1963f-s.jpg
2 States The Story of My Marriage,https://www.pdfdrive.com/2-states-the-story-of-my-marriage-e15314772.html,322 Pages,2012,839 KB,"82,644 Downloads","This may be the first time in the history of books, but here goes: Dedicated to .versions of old 2 States The Story O  ...",https://s.pdfdrive.com/assets/thumbs/438/4386c207a78389defc1898111b4ed266-s.jpg
