name,type,location,website
Massachusetts Institute of Technology,4 Year,"Cambridge, MA",https://www.niche.com/colleges/massachusetts-institute-of-technology/
Stanford University,4 Year,"Stanford, CA",https://www.niche.com/colleges/stanford-university/
Yale University,4 Year,"New Haven, CT",https://www.niche.com/colleges/yale-university/
Harvard University,4 Year,"Cambridge, MA",https://www.niche.com/colleges/harvard-university/
Princeton University,4 Year,"Princeton, NJ",https://www.niche.com/colleges/princeton-university/
Duke University,4 Year,"Durham, NC",https://www.niche.com/colleges/duke-university/
Brown University,4 Year,"Providence, RI",https://www.niche.com/colleges/brown-university/
Columbia University,4 Year,"New York, NY",https://www.niche.com/colleges/columbia-university/
University of Pennsylvania,4 Year,"Philadelphia, PA",https://www.niche.com/colleges/university-of-pennsylvania/
Rice University,4 Year,"Houston, TX",https://www.niche.com/colleges/rice-university/
Northwestern University,4 Year,"Evanston, IL",https://www.niche.com/colleges/northwestern-university/
Vanderbilt University,4 Year,"Nashville, TN",https://www.niche.com/colleges/vanderbilt-university/
Pomona College,4 Year,"Claremont, CA",https://www.niche.com/colleges/pomona-college/
Washington University in St. Louis,4 Year,"Saint Louis, MO",https://www.niche.com/colleges/washington-university-in-st-louis/
Dartmouth College,4 Year,"Hanover, NH",https://www.niche.com/colleges/dartmouth-college/
California Institute of Technology,4 Year,"Pasadena, CA",https://www.niche.com/colleges/california-institute-of-technology/
University of Notre Dame,4 Year,"Notre Dame, IN",https://www.niche.com/colleges/university-of-notre-dame/
University of Chicago,4 Year,"Chicago, IL",https://www.niche.com/colleges/university-of-chicago/
University of Southern California,4 Year,"Los Angeles, CA",https://www.niche.com/colleges/university-of-southern-california/
Cornell University,4 Year,"Ithaca, NY",https://www.niche.com/colleges/cornell-university/
Bowdoin College,4 Year,"Brunswick, ME",https://www.niche.com/colleges/bowdoin-college/
Amherst College,4 Year,"Amherst, MA",https://www.niche.com/colleges/amherst-college/
University of Michigan - Ann Arbor,4 Year,"Ann Arbor, MI",https://www.niche.com/colleges/university-of-michigan---ann-arbor/
Georgetown University,4 Year,"Washington, DC",https://www.niche.com/colleges/georgetown-university/
Tufts University,4 Year,"Medford, MA",https://www.niche.com/colleges/tufts-university/
Stevens Institute of Technology,4 Year,"Hoboken, NJ",https://www.niche.com/colleges/stevens-institute-of-technology/
Skidmore College,4 Year,"Saratoga Springs, NY",https://www.niche.com/colleges/skidmore-college/
