Song Heading,Singer,Composer,Lyricist,Actor,Film (Year),Category
O God Tussi Great Ho4.00 - 5 votes,"Shankar Mahadevan, Sonu Nigam",Sajid Wajid,Shabbir Ahmed,Salman Khan,God Tussi Great Ho (2008),Religious Songs
Laal Chunariya Odhali Maine Jabse Piya Ke Naam Ki4.42 - 26 votes,"Alka Yagnik, Udit Narayan",Sajid Wajid,Deven Shukla,"Priyanka Chopra, Salman Khan",God Tussi Great Ho (2008),Romantic Songs
"Tujhe Aksa Beach Ghuma Du, Aa Chalti Kya4.56 - 9 votes","Amrita Kak, Wajid Khan",Sajid Wajid,Shabbir Ahmed,"Priyanka Chopra, Salman Khan, Sohail Khan",God Tussi Great Ho (2008),Remix Songs
Tumko Dekha Tha Kabhi Maine Khwabo Mein Sanam4.50 - 2 votes,"Neeraj Shridhar, Shreya Ghoshal",Sajid Wajid,Jalees Sherwani,"Salman Khan, Priyanka Chopra",God Tussi Great Ho (2008),Romantic Songs
Tujhe Aksa Beach Ghuma Du (Remix)4.22 - 9 votes,"Amrita Kak, Wajid Ali",Sajid Wajid,Shabbir Ahmed,"Priyanka Chopra, Salman Khan",God Tussi Great Ho (2008),Remix Songs
"Lets Party Forever, Everybody Lets Do Together2.67 - 3 votes","Sunidhi Chauhan, Shaan",Sajid Wajid,Jalees Sherwani,Salman Khan,God Tussi Great Ho (2008),Rock Songs
God Tussi Great Ho (Remix)3.00 - 1 votes,"Shankar Mahadevan, Sonu Nigam",Sajid Wajid,Shabbir Ahmed,,God Tussi Great Ho (2008),Remix Songs
Lets Party Forever (Remix)3.00 - 1 votes,"Sunidhi Chauhan, Shaan",Sajid Wajid,Jalees Sherwani,Salman Khan,God Tussi Great Ho (2008),Remix Songs
Jihaal E Masti Makun Ba Ranjish4.46 - 385 votes,"Lata Mangeshkar, Shabbir Kumar",Laxmikant Pyarelal,Gulzar,"Anita Raj, Mithun Chakraborty",Ghulami (1985),Rock Songs
Mere Pee Ko Pawan Kis Gali Le Chali3.84 - 25 votes,Lata Mangeshkar,Laxmikant Pyarelal,Gulzar,Reena Roy,Ghulami (1985),
Peele Peele Sharab Hai Peele Peele4.50 - 4 votes,"Suresh Wadkar, Shabbir Kumar, Manhar Udhas",Laxmikant Pyarelal,Gulzar,Mithun Chakraborty,Ghulami (1985),Sharabi Songs
"Mere Peeko, Zehar Hai Raat4.38 - 8 votes",Lata Mangeshkar,Laxmikant Pyarelal,Gulzar,,Ghulami (1985),
Waqt Beeja Tha3.50 - 10 votes,Lata Mangeshkar,Laxmikant Pyarelal,Gulzar,"Reena Roy, Mithun Chakraborty",Ghulami (1985),
Sama Hai Suhana Suhana Nashe Mein Jahan4.45 - 211 votes,Kishore Kumar,Kalyanji Anandji,Hasrat Jaipuri,"Bharathi, Jalal Agha, Rakesh Roshan",Ghar Ghar Ki Kahani (1971),Romantic Songs
Suno Sunata Hoon Tumhe3.67 - 3 votes,Mahendra Kapoor,Kalyanji Anandji,Rajinder Krishan,,Ghar Ghar Ki Kahani (1971),
Aise Na Dekho Kanha3.57 - 7 votes,Lata Mangeshkar,Kalyanji Anandji,Hasrat Jaipuri,,Ghar Ghar Ki Kahani (1971),
"Chuna Lagake Chhoduga, Aisa Banoonga Actor Main Yaro3.80 - 10 votes",Hemlata,Kalyanji Anandji,Qamar Jalalabadi,,Ghar Ghar Ki Kahani (1971),Masti Bhare Geet
Jai Nandlala Jai Jai Gopala4.32 - 22 votes,Lata Mangeshkar,Kalyanji Anandji,Rajinder Krishan,,Ghar Ghar Ki Kahani (1971),
Hai Guzaarish4.09 - 45 votes,"Sonu Nigam, Javed Ali",A R Rahman,,"Aamir Khan, Asin Thottumkal",Ghajini (2008),Romantic Songs
Behaka Behaka Main Behaka Behaka3.64 - 14 votes,Karthik,A R Rahman,,"Asin Thottumkal, Aamir Khan",Ghajini (2008),Romantic Songs
Latoo Latoo Latoo Main Usape Latoo3.67 - 3 votes,Shreya Ghoshal,A R Rahman,,Jiah Khan,Ghajini (2008),Rock Songs
Kaise Mujhe Tum Mil Gayi4.27 - 78 votes,"Shreya Ghoshal, Benny Dayal",A R Rahman,,"Asin Thottumkal, Aamir Khan",Ghajini (2008),"Romantic Songs, Dard Bhare Geet"
Aye Bachchu Tu Sun Le3.70 - 10 votes,Suzanne D Mello,A R Rahman,,Asin Thottumkal,Ghajini (2008),"Rock Songs, Happy Songs"
Kaise Mujhe Tum Mil Gayi (Instrumental)4.00 - 5 votes,,A R Rahman,,,Ghajini (2008),Instrumental Songs
Dhup Mein Nikalaa Na Karo Rup Ki Raani4.09 - 11 votes,"Kishore Kumar, Asha Bhosle",Bappi Lahiri,Indeevar,"Amitabh Bachchan, Madhavi",Geraftaar (1985),Ched Chad Songs
Aana Jana Laga Rehega 14.07 - 14 votes,Bappi Lahiri,Bappi Lahiri,Indeevar,"Amitabh Bachchan, Kamal Haasan",Geraftaar (1985),Philosophical Songs
Khul Jaayega Kismat Ka Taala4.33 - 6 votes,Shabbir Kumar,Bappi Lahiri,Indeevar,"Amitabh Bachchan, Kamal Haasan",Geraftaar (1985),Disco Songs
"O Dil Se Dil Ki Pappi, Ke Meri Kismat Sawaar De4.00 - 2 votes","Asha Bhosle, Mohammed Aziz",Bappi Lahiri,Indeevar,"Kamal Haasan, Poonam Dhillon",Geraftaar (1985),"Dance Songs, Happy Songs"
Yaron Pe Kurban Hone Yaar Aaye Hai4.00 - 2 votes,"Mohammed Aziz, Kishore Kumar",Bappi Lahiri,Indeevar,"Amitabh Bachchan, Kamal Haasan",Geraftaar (1985),"Friendship Songs, Title Song"
Aana Jaana Laga Rehega Dukh Jayega Sukh Aayega4.75 - 8 votes,"Bappi Lahiri, Shabbir Kumar",Bappi Lahiri,Indeevar,"Amitabh Bachchan, Kamal Haasan",Geraftaar (1985),"Philosophical Songs, Friendship Songs"
