Product name,Category,Option,Brand,Sold by,Country of Manufacture,Express Shipping,Return Policy,Warranty,Image URL,Price,Special price,Discount,Quantity,Description,Availability,Product link
Del Monte Green Plainwhole Olives,Canned & Frozen Food,450 gm,Del Monte,HumMart,N/A,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024571625.jpg,Rs 355 | Exact price: 399.0000 PKR,355.0000,true,35,,1,https://hummart.com/del-monte-green-plainwhole-olives-450gm.html
Rafhan Mango Jelly,Noodles Sauces & Frozen Foods,80 gm,Rafhan,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/m/a/mango_jelly.jpg,Rs 65 | Exact price: 65.0000 PKR,,false,92,"High energy and fat free jelly that gives you right amount of mango feel all year round. May it be  mango season or not, Rafhan mango jelly is the answer to your mango-call!",1,https://hummart.com/rafhan-mango-jelly-80g.html
Rafhan Orange Jelly,Noodles Sauces & Frozen Foods,80 gm,Rafhan,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/o/r/orange_jelly.jpg,Rs 65 | Exact price: 65.0000 PKR,,false,2,"Trying out different flavours of jelly, Orange flavour is all that you need to satisfy your  slightly tart sweet cravings.",1,https://hummart.com/rafhan-orange-jelly-80-gm-1.html
Dipitt Oyster Sauce Bottle,Other Sauces,300 gm,Dipitt,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/7/8/788821015099.jpg,Rs 275 | Exact price: 275.0000 PKR,,false,5,,1,https://hummart.com/dipitt-oyster-sauce-bottle-310-gm.html
Knorr Chicken Noodle,Noodles Sauces & Frozen Foods,66 gm,Knorr,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/c/h/chicken-66-gm.png,Rs 35 | Exact price: 35.0000 PKR,,false,1677,Chicken flavour has a careful blend of herbs and spices that gives it a rich taste. It is definitely an all time favourite!,1,https://hummart.com/knorr-chicken-noodle-66-gm.html
Del Monte Green Stuffed+Pimento Olives,Canned & Frozen Food,235 gm,Del Monte,HumMart,N/A,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8888111139701.jpg,Rs 269 | Exact price: 269.0000 PKR,,false,7,,1,https://hummart.com/del-monte-green-stuffed-pimento-olives-235gm.html
Del Monte Pineapple Tidbits,Canned & Frozen Food,432 gm,Del Monte,HumMart,Italy,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024553775.jpg,Rs 199 | Exact price: 199.0000 PKR,,false,18,"It’s a Pre shampoo 3 minute treatment which leaves your hair shiny, silky, smooth and worry free! It gives the conditioning of egg and the goodness of natural ingredients all in one product.Hair Problem : Damaged, Chemically Treated Hair Benefits : For revitalized, shiny hair",1,https://hummart.com/del-monte-pineapple-tidbits-432-gm.html
Dipitt Mango Habanero Sauce Bottle,Other Sauces,310 gm,Dipitt,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/7/8/788821012876.jpg,Rs 275 | Exact price: 275.0000 PKR,,false,11,,1,https://hummart.com/dipitt-mango-habanero-sauce-bottle-310-gm.html
Del Monte Black Pitted Olives,Canned & Frozen Food,235 gm,Del Monte,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8888111139664.jpg,Rs 255 | Exact price: 255.0000 PKR,,false,8,"""Sunsilk Lusciously Thick & Long nourishes hair and makes it look two times thicker. Enriched with keratin yogurt, this formula nourishes hair from the roots so it looks thicker and you can style the way you want For hair that bounces with you. """,1,https://hummart.com/del-monte-black-pitted-olives-235-gm.html
Del Monte Pineapple Tidbits,Canned & Frozen Food,567 gm,Del Monte,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024553782.jpg,Rs 225 | Exact price: 225.0000 PKR,,false,15,Get indulge in traditonal dessert of Saviyaan and Sheer Khurma this Eid with National Vermicelli.,1,https://hummart.com/del-monte-pineapple-tidbits-567-gm.html
Dipitt Soy Sauce,Soya & Chilli Sauces,300 gm,Dipitt,HumMart,Pakistan,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/7/8/788821012890.jpg,Rs 150 | Exact price: 150.0000 PKR,,false,7,,1,https://hummart.com/dipitt-soy-sauce-300-gm.html
Del Monte Pineapple Slices,Canned & Frozen Food,822 gm,Del Monte,HumMart,Italy,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024012302.jpg,Rs 389 | Exact price: 389.0000 PKR,,false,14,"It’s a Pre shampoo 3 minute treatment which leaves your hair shiny, silky, smooth and worry free! It gives the conditioning of egg and the goodness of natural ingredients all in one product.Hair Problem : Damaged, Chemically Treated Hair Benefits : For revitalized, shiny hair",1,https://hummart.com/del-monte-pineapple-slices-822-gm.html
Del Monte Green Stuffed+Pimento Olives,Canned & Frozen Food,450 gm,Del Monte,HumMart,N/A,Yes,3 Day Return and Exchange,Not Applicable,https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024571618.jpg,Rs 389 | Exact price: 389.0000 PKR,,false,3,,1,https://hummart.com/del-monte-green-stuffed-pimento-olives-450gm.html
