name,category,details_url,rating_stars,address,opening_status,corona_status,email,phone,website,book_a_table
Amacher Michele,"Heating systems, Sanitary facilities",https://www.local.ch/en/d/paradiso/6900/heating-systems/amacher-michele-TIFvEsOctr23b-ZPDH2EHw?dwhere=Switzerland,5.0,"Via Zorzi 10, 6900 Paradiso",,Despite the Corona crisis there for you!,amacher.michele@bluewin.ch,079 220 07 93,http://www.amachermichele.ch,http://www.amachermichele.ch/contatti.html
Ansermoz Pascal Sàrl,"Heating systems, Sanitary facilities",https://www.local.ch/en/d/val-d-illiez/1873/heating-systems/ansermoz-pascal-sarl-9I_2xoQjpErRt5g8ZEqCKg?dwhere=Switzerland,5.0,"Chemin du Ruisseau 14, 1873 Val-d'Illiez",,Despite the Corona crisis there for you!,,079 273 98 68,https://www.pascalansermoz.ch/presentation,https://www.pascalansermoz.ch/nous-contacter
Aregger AG,"Sanitary facilities, Heating systems, Repairs",https://www.local.ch/en/d/ebikon/6030/sanitary-facilities/aregger-ag-pd3CwihFHB018oAdyKb5Zg?dwhere=Switzerland,4.7,"Mühlehofstrasse 12A, 6030 Ebikon",,Despite the Corona crisis there for you!,,041 420 03 30,http://www.aregger-haustechnik.ch,http://www.aregger-schnarwiler.ch/kontakt.html
Bai Angelo e figlio SA,"Heating systems, Sanitary facilities, Solar technology, solar systems, Irrigation, sprinkler systems, On-call service, Repairs, Air conditioning",https://www.local.ch/en/d/ascona/6612/heating-systems/bai-angelo-e-figlio-sa-veSbYI8PkiLl9ytYL1vy7w?dwhere=Switzerland,5.0,"Via Medere 14, 6612 Ascona",Open now until 17:00,Despite the Corona crisis there for you!,info@bai-ascona.ch,091 791 11 80,http://www.bai-ascona.ch,http://www.bai-ascona.ch#contatti
Berger AG,"Heating systems, Sanitary facilities, Heat pumps, Building equipment and appliances",https://www.local.ch/en/d/wettswil/8907/heating-systems/berger-ag-_rUM1CXPT_u4ZeQhb9ViQw?dwhere=Switzerland,5.0,"Langächerstrasse 5, 8907 Wettswil",Open now until 17:15,Despite the Corona crisis there for you!,info@bergerag-wettswil.ch,044 700 02 72,http://www.bergerag-wettswil.ch,https://bergerag-wettswil.ch/kontakt
Chesaux Ami SA,"Sanitary facilities, Tinsmith",https://www.local.ch/en/d/epalinges/1066/sanitary-facilities/chesaux-ami-sa-9rzVBoT6ROmlWjKV3qsoqw?dwhere=Switzerland,,"Chemin du Grand-Pré 4, 1066 Epalinges",,Despite the Corona crisis there for you!,info@chesauxsa.ch,021 652 67 87,http://www.chesauxsa.ch,https://chesauxsa.ch/contact
David Fürst Sanitär Heizung Solar,"Bathroom renovation, Sanitary facilities, Heating systems, Solar technology, solar systems",https://www.local.ch/en/d/gunzgen/4617/bathroom-renovation/david-fuerst-sanitaer-heizung-solar-epPwfa7urYwxcbjD5s0Maw?dwhere=Switzerland,,"Mittelgäustrasse 37, 4617 Gunzgen",Open now until 17:00,Despite the Corona crisis there for you!,david.füerst@bluewin.ch,062 216 30 85,http://davidfuerst.jimdofree.com,
Luli Haustechnik GmbH,"Heating systems, Sanitary facilities, Building equipment and appliances",https://www.local.ch/en/d/st-gallen/9000/heating-systems/luli-haustechnik-gmbh-s219Ip7hVrd1ba_-4g6ydw?dwhere=Switzerland,,"Brauerstrasse 25, 9000 St. Gallen",,Despite the Corona crisis there for you!,info@luli-haustechnik.ch,071 288 46 14,http://www.luli-haustechnik.ch,https://www.luli-haustechnik.ch/anfrage.shtml
Mehr Stefan AG,"Sanitary facilities, Heating systems",https://www.local.ch/en/d/hochdorf/6280/sanitary-facilities/mehr-stefan-ag-RYe5Udwbnzmohk_a712BSw?dwhere=Switzerland,3.7,"Bankstrasse 11, 6280 Hochdorf",Open now until 17:15,Despite the Corona crisis there for you!,,041 910 05 50,http://www.mehrag.ch,http://www.mehrag.ch/content/kontakt
P. Stulz Sanitär Anlagen & Baugruppe Rontal A - Z GmbH,"Sanitary emergency service, Sanitary facilities, Sanitary supplies, Construction management, Construction consulting, Construction company, Remodelling",https://www.local.ch/en/d/buchrain/6033/sanitary-emergency-service/p-stulz-sanitaer-anlagen-baugruppe-rontal-a-z-gmbh-rK8Vkl368ajJtrK07aVSRw?dwhere=Switzerland,3.6,"Eichmattstrasse 2, 6033 Buchrain",Open now until 17:00,Despite the Corona crisis there for you!,,041 440 96 55,http://www.sanitaer-stulz.ch,https://www.sanitaer-stulz.ch/kontakt
Agence Eugster SA,"Property management, Real estate agent, Real Estate, Renting",https://www.local.ch/en/d/verbier/1936/property-management/agence-eugster-sa-Qcl4ilg4r8HL81iQ37Vufg?dwhere=Switzerland,,"Route de Verbier Station 100, 1936 Verbier",Currently closed,Despite the Corona crisis there for you!,eugster@verbier.ch,027 771 11 66,http://www.agence-eugster.ch,
Agence immobilière Bussard SA,"Property management, Real Estate, Real estate agent",https://www.local.ch/en/d/bulle/1630/property-management/agence-immobiliere-bussard-sa-xnAhHAl3WFrq7znKdvuGzg?dwhere=Switzerland,4.7,"Grand-Rue 19, 1630 Bulle",Open now until 17:30,Despite the Corona crisis there for you!,office@bussard.ch,026 919 80 50,http://www.bussard.ch,http://www.bussard.ch/contact.html
ARCHISA Sträuli-Gaggini & Co,"Architectural firm, Renovations, Construction consulting, Construction supervision, Real Estate",https://www.local.ch/en/d/monteggio/6998/architectural-firm/archisa-straeuli-gaggini-co-84FsEhQSlHtp5oKOU9kCZg?dwhere=Switzerland,,"Via Fornasette 58, 6998 Monteggio",,Despite the Corona crisis there for you!,isa@archisaticino.ch,079 263 04 51,http://www.archisaticino.ch,
Baugenossenschaft Letten (BGL),"Cooperative housing association construction society, Residential building cooperative, Cooperative, Real Estate",https://www.local.ch/en/d/zuerich/8057/cooperative-housing-association-construction-society/baugenossenschaft-letten-bgl-SpMEToB5jLWK0vmtIhPjEA?dwhere=Switzerland,,"Schaffhauserstrasse 68, 8057 Zürich",,Despite the Corona crisis there for you!,info@bgl-zuerich.ch,044 365 75 00,http://www.bgl-zuerich.ch,
Büchler AG Immobilien-Dienstleistungen,"Real Estate, Real estate brokers and agencies",https://www.local.ch/en/d/niederuzwil/9244/real-estate/buechler-ag-immobilien-dienstleistungen-UCIWpPKg47pnOCFLjnJCQA?dwhere=Switzerland,5.0,"Henauerstrasse 20, 9244 Niederuzwil",Open now until 17:00,Despite the Corona crisis there for you!,info@buechler-immo.ch,071 944 12 12,http://www.buechler-immo.ch,
