title,description,location,features,date,price
Gated mini community Independent Housing Colony at pendurthi,"Gated mini community Independent Housing Colony at pendurthi  Priece Detials:  •	1000 sq.ft building in 130 sq.yards land  •	Constuction  cost : 50,00,000/-  23 WATER FRONT housing project Located at  Pendurthi. Towards Sabbavaram Road .Total  23 houses with Premium quality construction  Good Ventilation, Easy to Access to all Prime  Locations, Schools, Colleges, Hospitals.  Enhance your life style with peace, joy &  Happiness.  Location :-  Pendurthi  LOCATION: Pendurthi towards sabbavaram  road, beside 6 line highway  LAND MARK:  	Pendhurthi  junction to sabbavaram  road.  	1 km from pendurthi junction   PROJECT  HIGH LIGHTS :  	 VUDA approved   	Spot registration ,clear title   	Main entrance arch with gate   	All roads are black top roads   	Under ground drainage and electricity   	24*7 security and water facility   	All facings are available  LOCATION  HIGH LIGHTS:  	1 Km drive from pendhurthi  junction   	3 km drive from chinnamusiliwada  	7 km drive from CMR gopalapatanam   	10 km  drive from NAD juncion","India, Andhra Pradesh, Visakhapatnam, Pendurthi",2 Bds - 2 Ba - 1000 ft2,2020-02-01T11:16:19+0000,"₹ 50,00,000"
"1 BHK Flats for Sale - Athashri Pebbles, Bavdhan","1 BHK Flats for Sale - Athashri Pebbles, Bavdhan","India, Maharashtra, Pune, Hadapsar",1 Bds - 1 Ba - 499 ft2,2020-02-07T08:49:30+0000,"₹ 53,56,044"
"2BD,2BA WITH 0% INTREST FREE HOME sambhaji maharaj samadhi near tulapu","Description Description  0% interest free scheme  Sai Triveni Trikaya in Tulapur, Pune by Sai Balaji Group Pune is a residential project.  The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living.  The Apartment are of the following configurations: 1BHK and 2BHK  Sai Triveni Trikaya offers facilities such as Lift.  It also offers services like Garbage disposal.  It also offers Car parking.  The project is spread over a total area of 4.5acres of land. Sai Triveni Trikaya has a total of 3 towers. The construction is of 9 floors. An accommodation of 570 units has been provided.  About City:  The real estate market of Pune is on a positive trajectory. The city is witnessing increase in number of residential developments appealing to homebuyer's interest. Proximity from IT hubs and easy connectivity are two major factors that affect the price appreciation of a project.  Pune witnesses' population migration due to increasing number of jobs in the IT sector. This has a direct impact on the realty market making Pune as one of the growing cities in the real estate market of India.  Total Project Area: 4.5 Acres  Project Details: 570 Uniits 9 Floors  Configurations: Apartment | 1, 2 BHK187500","India, Maharashtra, Pune, Kharadi",2 Bds - 2 Ba - 757 ft2,2020-02-03T04:34:05+0000,"₹ 18,90,000"
House for sale,Call  me 9633  7432.   74,"India, Kerala, Kanjikode Industrial Area, Kanjikodu Village",4 Bds - 4 Ba - 1800 ft2,2020-02-28T15:02:28+0000,"₹ 50,00,000"
Brand new 2 bhk Row house for sale in lohegaon,Brand new 2 bhk Row house sale at lohegaon  2 toilet bathroom with balcony  Car parking  Loan facility is available  Possession in 2 months,"India, Maharashtra, Pune, Viman Nagar",2 Bds - 2 Ba - 1410 ft2,2020-02-28T15:02:25+0000,"₹ 21,00,036"
Kakkanad Kangarappady semi furnished 4 bedroom villa,"Kakkanad Kangarappady semi furnished 4 bedroom villa good Residential area 500 mtr busroot 1 kilometers Kangarappady junction 2 kilometers seaport airport rd near 5 kilometers Kakkanad infopark civil station More deatils please call vinu 9895,374760,,7012,163435","India, Kerala, Kochi, Kakkanad",4 Bds - 4 Ba - 2000 ft2,2020-02-28T15:02:19+0000,"₹ 73,00,000"
Spacious 1 Bhk Flat on highway with 24x7 Water Supply,"-A spacious 1Bhk flat with 24x7 Water Supply.  -Cidco water supply all Day -Car Parking Available.  -All the windows are have Safety Grill and Mosquito Nets. -The front door has Safety Door. -Kitchen is Semi Furnished. -Passage between Hall and Bedroom with ample space for Washing machine, wash basin and drying clothes. -Another passage where inverter and Shoe rack can be accommodated. -Separate toilet and bathroom both have been worked with ceramic tiles. -The building is on the Panvel - Matheran Highway, and right below the building there is NMMT Bus stop.  -Auto stand is 2 Mins away.  -Distance from Panvel station = 5 mins.  -Distance from Bus Depot = 10mins. -A cidco garden is 2 Mins away.  -Best Schools like DAV and St Josephs are within 1km.  -Multi speciality Hospitals within 1Km -Society Formation is done.  -Project is collector approved with oc.","India, Maharashtra, Navi Mumbai, Sukapur",1 Bds - 1 Ba - 871 ft2,2020-02-28T15:01:52+0000,"₹ 30,00,000"
Flats at rajendra nagar & attapur,3bhk flats in best price to sell,"India, Telangana, Hyderabad, Attapur",3 Bds - 3 Ba - 1465 ft2,2020-02-28T15:01:26+0000,"₹ 55,00,000"
"Flats for Sale in Kharadi, Pune","Flats for Sale in Kharadi, Pune","India, Maharashtra, Pune, Keshav Nagar",2 Bds - 2 Ba - 752 ft2,2020-02-28T15:01:16+0000,"₹ 68,06,204"
Buy 2 BHK Flats near Kharadi |,Buy 2 BHK Flats near Kharadi |,"India, Maharashtra, Pune, Kalyani Nagar",2 Bds - 2 Ba - 752 ft2,2020-02-28T15:01:16+0000,"₹ 68,06,076"
