type,price,address,description,bedrooms,bathrooms,agency_name,agency_link,image_url
Apartment,"3,800  QAR / MONTH",Old Airport,ALL BILLS INCLUDED: 1BHK 2BATH - Executive Bachelors,1,2,Rastec Real Estate,https://www.qatarliving.com/user/rastec-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/03/10/IMG-3428.JPG?itok=h7lpDkQy
Apartment,"5,500  QAR / MONTH",Umm Ghwailina,3 bedrooms apartment ,3,3,Nama Real Estate,https://www.qatarliving.com/user/nama-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/04/13/building-1.jpg?itok=tNkWhY_v
Apartment,"6,500  QAR / MONTH",Corniche,2 Bedrooms Fully Furnished No Commission Fee,2,2,Nama Real Estate,https://www.qatarliving.com/user/nama-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/04/21/cornish-4.JPG?itok=ZG8CVBfA
Apartment,"6,500  QAR / MONTH",Old Salata,2 Bedrooms Fully Furnished Apartement in Corniche No commisiion fee,2,2,Nama Real Estate,https://www.qatarliving.com/user/nama-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/03/10/cornish-8.JPG?itok=a--bFGgT
Apartment,"7,000  QAR / MONTH",Ain Khaled,Fully Furnished 2-Bedrooms in Ain Khalid Compound (AKC),2,2,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/02/03/Layout_3.jpg?itok=6kyoKgsu
Apartment,"8,500  QAR / MONTH",Ain Khaled,Fully Furnished 2-BDR In Ain Khalid Gate (AKG-C),2,2,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/05/27/2_6.jpg?itok=e3yv5IwE
Apartment,"11,500  QAR / MONTH",The Pearl Qatar,Fully Furnished 2-Bedroom Apartment in The Pearl (RP1-Z),2,2,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/05/05/1_9.jpg?itok=SgKV3B0d
Apartment,"12,500  QAR / MONTH",West Bay,"Fully Furnished 3-BDR Apt, West Bay + 1 month free(BHT-3)",3,3,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/06/18/Listing-layout-15.jpg?itok=WcIcoGPj
Apartment,"6,000  QAR / MONTH",Umm Ghwailina,Furnished 3-Bedroom Apartment in Umm Ghuwailina (GR17-3),3,3,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/07/02/Layout_2.png?itok=YZN1-QgV
Apartment,"6,500  QAR / MONTH",Al Sadd,Fully Furnished 2-Bedroom Apartment in Al Sadd (RRAS2-//) WCIGF,2,2,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/07/07/Layout_0.png?itok=V4kfLnhU
Apartment,"4,500  QAR / MONTH",Old Airport,Apartments For Rent Located in Old Airport Road (RRA1),1,1,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/09/04/Layout.jpg?itok=6rT4Z3Rq
