title,link,price,likes
"Norton 360 Deluxe - Antivirus software for 3 Devices with Auto Renewal - Includes VPN, PC Cloud Backup & Dark Web Monitoring powered by LifeLock [Download] $17.99",https://slickdeals.net/f/13964783-norton-360-deluxe-antivirus-software-for-3-devices-with-auto-renewal-includes-vpn-pc-cloud-backup-dark-web-monitoring-powered-by-lifelock-download-17-99?src=catpagev2,$17.99,6
Dead Cells (iOS Game App) $5.99 via Apple App Store,https://slickdeals.net/f/13964621-dead-cells-ios-game-app-5-99-via-apple-app-store?src=catpagev2,$5.99,6
Microsoft Wireless Mobile Mouse 4000 (Graphite),https://slickdeals.net/f/13962749-microsoft-wireless-mobile-mouse-4000-graphite-9-99?src=catpagev2,$10,87
The Curious Tale of the Stolen Pets VR @ Steam [LOWEST EVER] 34% off $9.89,https://slickdeals.net/f/13964534-the-curious-tale-of-the-stolen-pets-vr-steam-lowest-ever-34-off-9-89?src=catpagev2,$9.89,3
"PICTEK Mechanical Gaming Keyboard, Diverse Full-Spectrum Backlight Keyboard with108 Keys Blue Switches/ Detachable Wrist Rest Wired - $33.59",https://slickdeals.net/f/13964123-pictek-mechanical-gaming-keyboard-diverse-full-spectrum-backlight-keyboard-with108-keys-blue-switches-detachable-wrist-rest-wired-33-59?src=catpagev2,$33.59,7
"Crucial BX500 2.5"" 1TB SATA III 3D NAND Internal Solid State Drive (SSD) $99.99 + Free Shipping",https://slickdeals.net/f/13963976-crucial-bx500-2-5-1tb-sata-iii-3d-nand-internal-solid-state-drive-ssd-99-99-free-shipping?src=catpagev2,$99.99,7
"NETGEAR Orbi Voice Whole Home Mesh WiFi System, Built in Smart Speaker $179.99",https://slickdeals.net/f/13962878-netgear-orbi-voice-whole-home-mesh-wifi-system-built-in-smart-speaker-179-99?src=catpagev2,$179.99,19
Fractal Design Era ITX SFF Case w/ Tempered Glass Top @Newegg $145,https://slickdeals.net/f/13964510-fractal-design-era-itx-sff-case-w-tempered-glass-top-newegg-145?src=catpagev2,$145,0
Amazon: Mionix Castor Frosting Optical Gaming Mouse (Peach/Pink) $29.99 + FS,https://slickdeals.net/f/13963517-amazon-mionix-castor-frosting-optical-gaming-mouse-peach-pink-29-99-fs?src=catpagev2,$29.99,0
Samsung Galaxy Tab A 10.1 $200 - $300 w/ free keyboard cover,https://slickdeals.net/f/13960580-samsung-galaxy-tab-a-10-1-200-300-w-free-keyboard-cover?src=catpagev2,$279.99,32
VisionTek Radeon RX 5700 XT - 50th Anniversary Edition $369.99,https://slickdeals.net/f/13960493-visiontek-radeon-rx-5700-xt-50th-anniversary-edition-369-99?src=catpagev2,$369.99,27
VisionTek Radeon RX 5700 XT - NON-ANNIVERSARY edition $349.99,https://slickdeals.net/f/13960502-visiontek-radeon-rx-5700-xt-non-anniversary-edition-349-99?src=catpagev2,$349.99,19
HyperX Cloud Flight - Wireless Gaming Headset $70.84 - Amazon Warehouse,https://slickdeals.net/f/13961171-hyperx-cloud-flight-wireless-gaming-headset-70-84-amazon-warehouse?src=catpagev2,$70.84,0
HP: Purchase a PC & Receive 10% Off Monitors & 20% Off Accessories + FS,https://slickdeals.net/f/13955084-hp-purchase-a-pc-receive-10-off-monitors-20-off-accessories-fs?src=catpagev2,N/A,3
"Acer Aspire 5, 14"" Full HD IPS, 8th Gen Intel Core i7-8565U, 8GB DDR4, 512GB PCIe NVMe SSD, Windows 10 Home, A514-52-78MD $529 - Free Shipping Walmart",https://slickdeals.net/f/13959464-acer-aspire-5-14-full-hd-ips-8th-gen-intel-core-i7-8565u-8gb-ddr4-512gb-pcie-nvme-ssd-windows-10-home-a514-52-78md-529-free-shipping-walmart?src=catpagev2,$529,41
Amazon Web Services Solutions Architect Associate Exam Prep Course,https://slickdeals.net/f/13958099-amazon-web-services-solutions-architect-associate-exam-prep-course-lifetime-access-7-80?src=catpagev2,$7.80,34
Dell Home Outlet: Save Big On Outlet Deals until 4/6,https://slickdeals.net/f/13956107-dell-home-outlet-save-big-on-outlet-deals-until-4-6?src=catpagev2,N/A,4
"CDW: LG 34BL850 34"" UltraWide™ QHD 3440x1440 Nano IPS Monitor $587.99",https://slickdeals.net/f/13957997-cdw-lg-34bl850-34-ultrawide-qhd-3440x1440-nano-ips-monitor-587-99?src=catpagev2,$587.99,14
The Complete Cybersecurity Certification Training Bundle $24,https://slickdeals.net/f/13958468-the-complete-cybersecurity-certification-training-bundle-24?src=catpagev2,N/A,6
iMazing iOS Device Manager: Universal License for Mac and PC $19.99,https://slickdeals.net/f/13958408-imazing-ios-device-manager-universal-license-for-mac-and-pc-19-99?src=catpagev2,N/A,5
The Build Your Own Business with Wordpress & WooCommerce Bundle (Lifetime Access) $24,https://slickdeals.net/f/13958624-the-build-your-own-business-with-wordpress-woocommerce-bundle-lifetime-access-24?src=catpagev2,N/A,3
Alienware 27 Gaming Monitor 240Hz 1080p IPS - AW2720HF $459.99,https://slickdeals.net/f/13958966-alienware-27-gaming-monitor-240hz-1080p-ips-aw2720hf-459-99?src=catpagev2,$459.99,0
Logitech G402 Hyperion Fury Optical Gaming Mouse,https://slickdeals.net/f/13956023-target-logitech-g402-hyperion-fury-fps-gaming-mouse-21-49-fs-on-orders-over-35?src=catpagev2,$21.50,75
Newegg.com: HGST Ultrastar He10 10TB 7200 RPM SAS 12Gb/s 3.5-Inch Enterprise Hard $235 FREE S&H,https://slickdeals.net/f/13957112-newegg-com-hgst-ultrastar-he10-10tb-7200-rpm-sas-12gb-s-3-5-inch-enterprise-hard-235-free-s-h?src=catpagev2,N/A,2
"ASUS VivoBook S14 S432 Thin and Light 14"" 8GB RAM, 512GB SSD Laptop - $699.99 + FS",https://slickdeals.net/f/13955522-asus-vivobook-s14-s432-thin-and-light-14-8gb-ram-512gb-ssd-laptop-699-99-fs?src=catpagev2,$699.99,13
ARK: Survival Evolved @ Steam [lowest ever!] 80% off $10,https://slickdeals.net/f/13956368-ark-survival-evolved-steam-lowest-ever-80-off-10?src=catpagev2,$10,3
Ender 3D printer $179.99 no tax free shipping.,https://slickdeals.net/f/13956464-ender-3d-printer-179-99-no-tax-free-shipping?src=catpagev2,$179.99,0
Orbi RBS40V satellite ($116+tax shipped),https://slickdeals.net/f/13954559-orbi-rbs40v-satellite-116-tax-shipped?src=catpagev2,$116,7
EVOO EG-LP5-BK 15in FHD i7-9750H 2.6GHz NVIDIA GeForce GTX 1660 Ti 6GB 16GB RAM 512GB SSD (seller refurb) - $573 and More,https://slickdeals.net/f/13980431-evoo-eg-lp5-bk-15in-fhd-i7-9750h-2-6ghz-nvidia-geforce-gtx-1660-ti-6gb-16gb-ram-512gb-ssd-seller-refurb-573-and-more?src=catpagev2,N/A,49
"Virtual Battlegrounds Steam Key [FULL release, test EXPIRED] 15% off (or free?) $17",https://slickdeals.net/f/13981343-virtual-battlegrounds-steam-key-full-release-test-expired-15-off-or-free-17?src=catpagev2,$17,9
"Certified Refurbished Fire HD 8 Tablet (8"" HD Display, 16 GB) -  (Various Colors) with Show Mode Charging Dock. $39.99 @ Amazon",https://slickdeals.net/f/13980872-certified-refurbished-fire-hd-8-tablet-8-hd-display-16-gb-various-colors-with-show-mode-charging-dock-39-99-amazon?src=catpagev2,$39.99,14
"Acer R271 bid 27"" LCD Monitor, Black, 1920*1080, 4ms Response, Pickup ONLY $104.99",https://slickdeals.net/f/13979087-acer-r271-bid-27-lcd-monitor-black-1920-1080-4ms-response-pickup-only-104-99?src=catpagev2,$104.99,59
The Premium Novice-to-Expert Day Trading & Technical Analysis Bundle (Lifetime Access) $30,https://slickdeals.net/f/13981292-the-premium-novice-to-expert-day-trading-technical-analysis-bundle-lifetime-access-30?src=catpagev2,N/A,1
"Anker USB C Hubs, with 4K HDMI, 60W Power Delivery, USB 3.0 Port and More: Starting From $16.99 + FSSS",https://slickdeals.net/f/13979015-anker-usb-c-hubs-with-4k-hdmi-60w-power-delivery-usb-3-0-port-and-more-starting-from-16-99-fsss?src=catpagev2,N/A,42
"USB 3.0 SATA 2.5"" HDD/SSD Exterior Enclosure + Free 8x8 Shutterfly Photo Book $15.00 + Free Pickup @ Best Buy",https://slickdeals.net/f/13980338-usb-3-0-sata-2-5-hdd-ssd-exterior-enclosure-free-8x8-shutterfly-photo-book-15-00-free-pickup-best-buy?src=catpagev2,N/A,0
"Lenovo ThinkVision T2224z 21.5"" LED Backlit LCD Monitor with Built-in Webcam (Off-Lease Refurbished) $100",https://slickdeals.net/f/13980083-lenovo-thinkvision-t2224z-21-5-led-backlit-lcd-monitor-with-built-in-webcam-off-lease-refurbished-100?src=catpagev2,N/A,0
eero Pro mesh WiFi router / extender Certified Refurbished $119,https://slickdeals.net/f/13979456-eero-pro-mesh-wifi-router-extender-certified-refurbished-119?src=catpagev2,$119,5
Bitdefender Total Security 2020 5-Device / 1-Year Subscription (PC/Mac/iOS/Android),https://slickdeals.net/f/13979609-bitdefender-total-security-2020-5-device-1-year-subscription-pc-mac-ios-android?src=catpagev2,$19.99,0
