title,price,floor_area,location,agency,image_url
Top 2.3 Eindrucksvoller Wohnraum für Freidenker,1600000,326 m²,"1030 Wien, 03. Bezirk, Landstraße",Birnleitner Immobilien GmbH.,https://cache.willhaben.at/mmo/8/276/323/988_519234285_hoved.jpg
"Maisonette Wohnung mit Blick auf Belvedere, Designeinrichtung!",649000,197 m²,"1030 Wien, 03. Bezirk, Landstraße",ImmoTrading GmbH,https://cache.willhaben.at/mmo/4/291/982/914_-1106117926_hoved.jpg
Großzügige 3 Zimmerwohnung inmitten des 3. Gemeindebezirks.,849000,117 m²,"1030 Wien, 03. Bezirk, Landstraße",JP Immobilien,https://cache.willhaben.at/mmo/0/314/516/940_1936394283_hoved.jpg
Aus Wohnraum wird Wohntraum - Altbau im Dritten,435000,162 m²,"1030 Wien, 03. Bezirk, Landstraße",Wohnen & Wert Realitätenvermittlung GmbH,https://cache.willhaben.at/mmo/5/380/542/995_1212665169_hoved.jpg
Tom völlig losgelöst von der Erde,639000.41,87 m²,"1030 Wien, 03. Bezirk, Landstraße",rooming rebels,https://cache.willhaben.at/mmo/9/374/013/519_531881696_hoved.jpg
** FÜR FAMILIEN MIT GROSSEN ANSPRÜCHEN ** EXZELLENT GEPLANTE 3 ZIMMET DACHGESCHOSS - MAISONETTE IM BELIEBTEN BEZIRK LANDSTRASSE **,752560,108 m²,"1030 Wien, 03. Bezirk, Landstraße",teamneunzehn.at Immobilienmanagement GmbH & Co KG,https://cache.willhaben.at/mmo/9/380/490/319_-780932643_hoved.jpg
TrIIIple - Wohnen hoch über Wien,582690,85 m²,"1030 Wien, 03. Bezirk, Landstraße",OTTO IMMOBILIEN GRUPPE,https://cache.willhaben.at/mmo/9/292/563/229_-1231426857_hoved.jpg
TrIIIple - Wohnen hoch über Wien,345000,69 m²,"1030 Wien, 03. Bezirk, Landstraße",OTTO IMMOBILIEN GRUPPE,https://cache.willhaben.at/mmo/6/292/563/166_-1231426857_hoved.jpg
DIREKT VON PRIVAT: Sehr gute Lage - Wohnung Nähe Schloss Belvedere,798000,79 m²,"1030 Wien, 03. Bezirk, Landstraße",,https://cache.willhaben.at/mmo/9/378/905/169_-2077825628_hoved.jpg
"FASANVIERTEL: NEUE DG-WOHNUNG MIT BLICK BIS STEPHANSDOM: 5 ZIMMER, GROSSE TERRASSE",1133000,166 m²,"1030 Wien, 03. Bezirk, Landstraße",gb-direkt Finanzberatung & Immobilienhandel GmbH,https://cache.willhaben.at/mmo/2/196/099/702_330432693_hoved.jpg
